Points with non-zero HEIDI values:
Point 49 -> Point 60, HEIDI Value: 3.0000
Point 49 -> Point 72, HEIDI Value: 3.0000
Point 50 -> Point 50, HEIDI Value: 3.0000
Point 50 -> Point 96, HEIDI Value: 3.0000
Point 50 -> Point 108, HEIDI Value: 3.0000
Point 51 -> Point 51, HEIDI Value: 3.0000
Point 52 -> Point 29, HEIDI Value: 3.0000
Point 52 -> Point 52, HEIDI Value: 3.0000
Point 52 -> Point 231, HEIDI Value: 3.0000
Point 53 -> Point 53, HEIDI Value: 3.0000
Point 54 -> Point 54, HEIDI Value: 3.0000
Point 54 -> Point 196, HEIDI Value: 3.0000
Point 54 -> Point 274, HEIDI Value: 3.0000
Point 55 -> Point 55, HEIDI Value: 3.0000
Point 55 -> Point 134, HEIDI Value: 3.0000
Point 55 -> Point 217, HEIDI Value: 3.0000
Point 56 -> Point 56, HEIDI Value: 3.0000
Point 56 -> Point 109, HEIDI Value: 3.0000
Point 56 -> Point 170, HEIDI Value: 3.0000
Point 56 -> Point 188, HEIDI Value: 3.0000
Point 56 -> Point 289, HEIDI Value: 3.0000
Point 57 -> Point 37, HEIDI Value: 3.0000
Point 57 -> Point 40, HEIDI Value: 3.0000
Point 57 -> Point 57, HEIDI Value: 3.0000
Point 57 -> Point 237, HEIDI Value: 3.0000
Point 57 -> Point 260, HEIDI Value: 3.0000
Point 58 -> Point 58, HEIDI Value: 3.0000
Point 58 -> Point 73, HEIDI Value: 3.0000
Point 58 -> Point 284, HEIDI Value: 3.0000
Point 59 -> Point 59, HEIDI Value: 3.0000
Point 60 -> Point 4, HEIDI Value: 3.0000
Point 60 -> Point 49, HEIDI Value: 3.0000
Point 60 -> Point 60, HEIDI Value: 3.0000
Point 61 -> Point 11, HEIDI Value: 3.0000
Point 61 -> Point 43, HEIDI Value: 3.0000
Point 61 -> Point 61, HEIDI Value: 3.0000
Point 61 -> Point 190, HEIDI Value: 3.0000
Point 61 -> Point 277, HEIDI Value: 3.0000
Point 62 -> Point 62, HEIDI Value: 3.0000
Point 63 -> Point 63, HEIDI Value: 3.0000
Point 63 -> Point 69, HEIDI Value: 3.0000
Point 63 -> Point 122, HEIDI Value: 3.0000
Point 64 -> Point 64, HEIDI Value: 3.0000
Point 64 -> Point 121, HEIDI Value: 3.0000
Point 64 -> Point 272, HEIDI Value: 3.0000
Point 65 -> Point 65, HEIDI Value: 3.0000
Point 66 -> Point 33, HEIDI Value: 3.0000
Point 66 -> Point 66, HEIDI Value: 3.0000
Point 66 -> Point 224, HEIDI Value: 3.0000
Point 66 -> Point 281, HEIDI Value: 3.0000
Point 66 -> Point 294, HEIDI Value: 3.0000
Point 67 -> Point 67, HEIDI Value: 3.0000
Point 67 -> Point 186, HEIDI Value: 3.0000
Point 67 -> Point 285, HEIDI Value: 3.0000
Point 68 -> Point 11, HEIDI Value: 3.0000
Point 68 -> Point 68, HEIDI Value: 3.0000
Point 68 -> Point 120, HEIDI Value: 3.0000
Point 68 -> Point 270, HEIDI Value: 3.0000
Point 68 -> Point 277, HEIDI Value: 3.0000
Point 69 -> Point 63, HEIDI Value: 3.0000
Point 69 -> Point 69, HEIDI Value: 3.0000
Point 69 -> Point 275, HEIDI Value: 3.0000
Point 70 -> Point 70, HEIDI Value: 3.0000
Point 71 -> Point 71, HEIDI Value: 3.0000
Point 71 -> Point 127, HEIDI Value: 3.0000
Point 71 -> Point 146, HEIDI Value: 3.0000
Point 72 -> Point 47, HEIDI Value: 3.0000
Point 72 -> Point 49, HEIDI Value: 3.0000
Point 72 -> Point 72, HEIDI Value: 3.0000
Point 73 -> Point 58, HEIDI Value: 3.0000
Point 73 -> Point 73, HEIDI Value: 3.0000
Point 73 -> Point 90, HEIDI Value: 3.0000
Point 74 -> Point 74, HEIDI Value: 3.0000
Point 74 -> Point 146, HEIDI Value: 3.0000
Point 74 -> Point 210, HEIDI Value: 3.0000
Point 74 -> Point 254, HEIDI Value: 3.0000
Point 74 -> Point 287, HEIDI Value: 3.0000
Point 75 -> Point 26, HEIDI Value: 3.0000
Point 75 -> Point 75, HEIDI Value: 3.0000
Point 75 -> Point 129, HEIDI Value: 3.0000
Point 76 -> Point 76, HEIDI Value: 3.0000
Point 77 -> Point 77, HEIDI Value: 3.0000
Point 78 -> Point 78, HEIDI Value: 3.0000
Point 79 -> Point 16, HEIDI Value: 3.0000
Point 79 -> Point 79, HEIDI Value: 3.0000
Point 79 -> Point 268, HEIDI Value: 3.0000
Point 80 -> Point 31, HEIDI Value: 3.0000
Point 80 -> Point 80, HEIDI Value: 3.0000
Point 80 -> Point 204, HEIDI Value: 3.0000
Point 81 -> Point 81, HEIDI Value: 3.0000
Point 81 -> Point 136, HEIDI Value: 3.0000
Point 81 -> Point 223, HEIDI Value: 3.0000
Point 82 -> Point 30, HEIDI Value: 3.0000
Point 82 -> Point 82, HEIDI Value: 3.0000
Point 82 -> Point 107, HEIDI Value: 3.0000
Point 82 -> Point 281, HEIDI Value: 3.0000
Point 82 -> Point 294, HEIDI Value: 3.0000
Point 83 -> Point 83, HEIDI Value: 3.0000
Point 84 -> Point 84, HEIDI Value: 3.0000
Point 85 -> Point 85, HEIDI Value: 3.0000
Point 86 -> Point 86, HEIDI Value: 3.0000
Point 87 -> Point 87, HEIDI Value: 3.0000
Point 88 -> Point 30, HEIDI Value: 3.0000
Point 88 -> Point 88, HEIDI Value: 3.0000
Point 88 -> Point 95, HEIDI Value: 3.0000
Point 88 -> Point 235, HEIDI Value: 3.0000
Point 88 -> Point 263, HEIDI Value: 3.0000
Point 89 -> Point 89, HEIDI Value: 3.0000
Point 90 -> Point 73, HEIDI Value: 3.0000
Point 90 -> Point 90, HEIDI Value: 3.0000
Point 90 -> Point 128, HEIDI Value: 3.0000
Point 91 -> Point 91, HEIDI Value: 3.0000
Point 92 -> Point 92, HEIDI Value: 3.0000
Point 93 -> Point 93, HEIDI Value: 3.0000
Point 93 -> Point 105, HEIDI Value: 3.0000
Point 93 -> Point 152, HEIDI Value: 3.0000
Point 94 -> Point 94, HEIDI Value: 3.0000
Point 95 -> Point 30, HEIDI Value: 3.0000
Point 95 -> Point 88, HEIDI Value: 3.0000
Point 95 -> Point 95, HEIDI Value: 3.0000
Point 95 -> Point 107, HEIDI Value: 3.0000
Point 95 -> Point 235, HEIDI Value: 3.0000
Point 96 -> Point 50, HEIDI Value: 3.0000
Point 96 -> Point 96, HEIDI Value: 3.0000
Point 96 -> Point 138, HEIDI Value: 3.0000
Point 97 -> Point 97, HEIDI Value: 3.0000
Point 98 -> Point 98, HEIDI Value: 3.0000
Point 98 -> Point 221, HEIDI Value: 3.0000
Point 98 -> Point 240, HEIDI Value: 3.0000
Point 99 -> Point 99, HEIDI Value: 3.0000
Point 100 -> Point 47, HEIDI Value: 3.0000
Point 100 -> Point 100, HEIDI Value: 3.0000
Point 100 -> Point 239, HEIDI Value: 3.0000
