Points with non-zero HEIDI values:
Point 0 -> Point 0, HEIDI Value: 3.0000
Point 161 -> Point 215, HEIDI Value: 2.0000
Point 161 -> Point 274, HEIDI Value: 2.0000
Point 162 -> Point 50, HEIDI Value: 2.0000
Point 162 -> Point 104, HEIDI Value: 2.0000
Point 162 -> Point 131, HEIDI Value: 2.0000
Point 163 -> Point 0, HEIDI Value: 2.0000
Point 163 -> Point 107, HEIDI Value: 2.0000
Point 163 -> Point 125, HEIDI Value: 2.0000
Point 163 -> Point 220, HEIDI Value: 2.0000
Point 164 -> Point 7, HEIDI Value: 2.0000
Point 164 -> Point 17, HEIDI Value: 2.0000
Point 164 -> Point 128, HEIDI Value: 2.0000
Point 164 -> Point 136, HEIDI Value: 2.0000
Point 164 -> Point 139, HEIDI Value: 2.0000
Point 164 -> Point 219, HEIDI Value: 2.0000
Point 164 -> Point 253, HEIDI Value: 2.0000
Point 164 -> Point 256, HEIDI Value: 2.0000
Point 165 -> Point 51, HEIDI Value: 2.0000
Point 165 -> Point 61, HEIDI Value: 2.0000
Point 165 -> Point 96, HEIDI Value: 2.0000
Point 166 -> Point 80, HEIDI Value: 2.0000
Point 166 -> Point 84, HEIDI Value: 2.0000
Point 166 -> Point 114, HEIDI Value: 2.0000
Point 166 -> Point 207, HEIDI Value: 2.0000
Point 167 -> Point 88, HEIDI Value: 2.0000
Point 167 -> Point 123, HEIDI Value: 2.0000
Point 167 -> Point 196, HEIDI Value: 2.0000
Point 167 -> Point 240, HEIDI Value: 2.0000
Point 167 -> Point 281, HEIDI Value: 2.0000
Point 168 -> Point 38, HEIDI Value: 2.0000
Point 168 -> Point 65, HEIDI Value: 2.0000
Point 168 -> Point 200, HEIDI Value: 2.0000
Point 168 -> Point 294, HEIDI Value: 2.0000
Point 169 -> Point 68, HEIDI Value: 2.0000
Point 169 -> Point 170, HEIDI Value: 2.0000
Point 169 -> Point 187, HEIDI Value: 2.0000
Point 169 -> Point 200, HEIDI Value: 2.0000
Point 169 -> Point 287, HEIDI Value: 2.0000
Point 170 -> Point 9, HEIDI Value: 2.0000
Point 170 -> Point 48, HEIDI Value: 2.0000
Point 170 -> Point 68, HEIDI Value: 2.0000
Point 170 -> Point 71, HEIDI Value: 2.0000
Point 170 -> Point 169, HEIDI Value: 2.0000
Point 170 -> Point 287, HEIDI Value: 2.0000
Point 171 -> Point 82, HEIDI Value: 2.0000
Point 171 -> Point 88, HEIDI Value: 2.0000
Point 171 -> Point 97, HEIDI Value: 2.0000
Point 171 -> Point 123, HEIDI Value: 2.0000
Point 171 -> Point 124, HEIDI Value: 2.0000
Point 171 -> Point 196, HEIDI Value: 2.0000
Point 172 -> Point 78, HEIDI Value: 2.0000
Point 173 -> Point 37, HEIDI Value: 2.0000
Point 173 -> Point 156, HEIDI Value: 2.0000
Point 173 -> Point 186, HEIDI Value: 2.0000
Point 173 -> Point 234, HEIDI Value: 2.0000
Point 173 -> Point 238, HEIDI Value: 2.0000
Point 174 -> Point 6, HEIDI Value: 2.0000
Point 174 -> Point 119, HEIDI Value: 2.0000
Point 174 -> Point 268, HEIDI Value: 2.0000
Point 175 -> Point 5, HEIDI Value: 2.0000
Point 175 -> Point 67, HEIDI Value: 2.0000
Point 175 -> Point 144, HEIDI Value: 2.0000
Point 175 -> Point 214, HEIDI Value: 2.0000
Point 175 -> Point 275, HEIDI Value: 2.0000
Point 176 -> Point 23, HEIDI Value: 2.0000
Point 176 -> Point 134, HEIDI Value: 2.0000
Point 176 -> Point 226, HEIDI Value: 2.0000
Point 176 -> Point 298, HEIDI Value: 2.0000
Point 177 -> Point 25, HEIDI Value: 2.0000
Point 177 -> Point 121, HEIDI Value: 2.0000
Point 177 -> Point 125, HEIDI Value: 2.0000
Point 178 -> Point 144, HEIDI Value: 2.0000
Point 178 -> Point 205, HEIDI Value: 2.0000
Point 178 -> Point 214, HEIDI Value: 2.0000
Point 178 -> Point 243, HEIDI Value: 2.0000
Point 178 -> Point 271, HEIDI Value: 2.0000
Point 178 -> Point 283, HEIDI Value: 2.0000
Point 179 -> Point 46, HEIDI Value: 2.0000
Point 179 -> Point 65, HEIDI Value: 2.0000
Point 179 -> Point 168, HEIDI Value: 2.0000
Point 180 -> Point 114, HEIDI Value: 2.0000
Point 180 -> Point 133, HEIDI Value: 2.0000
Point 180 -> Point 160, HEIDI Value: 2.0000
Point 180 -> Point 237, HEIDI Value: 2.0000
Point 181 -> Point 50, HEIDI Value: 2.0000
Point 181 -> Point 67, HEIDI Value: 2.0000
Point 181 -> Point 104, HEIDI Value: 2.0000
Point 181 -> Point 162, HEIDI Value: 2.0000
Point 181 -> Point 178, HEIDI Value: 2.0000
Point 181 -> Point 271, HEIDI Value: 2.0000
Point 181 -> Point 283, HEIDI Value: 2.0000
Point 182 -> Point 89, HEIDI Value: 2.0000
Point 182 -> Point 137, HEIDI Value: 2.0000
Point 182 -> Point 203, HEIDI Value: 2.0000
Point 182 -> Point 288, HEIDI Value: 2.0000
Point 183 -> Point 50, HEIDI Value: 2.0000
Point 183 -> Point 104, HEIDI Value: 2.0000
Point 183 -> Point 131, HEIDI Value: 2.0000
Point 183 -> Point 178, HEIDI Value: 2.0000
Point 183 -> Point 181, HEIDI Value: 2.0000
Point 183 -> Point 243, HEIDI Value: 2.0000
Point 183 -> Point 271, HEIDI Value: 2.0000
Point 183 -> Point 283, HEIDI Value: 2.0000
Point 183 -> Point 286, HEIDI Value: 2.0000
Point 184 -> Point 250, HEIDI Value: 2.0000
Point 184 -> Point 257, HEIDI Value: 2.0000
Point 184 -> Point 292, HEIDI Value: 2.0000
Point 185 -> Point 66, HEIDI Value: 2.0000
Point 185 -> Point 127, HEIDI Value: 2.0000
Point 185 -> Point 235, HEIDI Value: 2.0000
Point 186 -> Point 41, HEIDI Value: 2.0000
Point 186 -> Point 118, HEIDI Value: 2.0000
Point 186 -> Point 173, HEIDI Value: 2.0000
Point 186 -> Point 236, HEIDI Value: 2.0000
Point 186 -> Point 267, HEIDI Value: 2.0000
Point 187 -> Point 68, HEIDI Value: 2.0000
Point 187 -> Point 118, HEIDI Value: 2.0000
Point 187 -> Point 169, HEIDI Value: 2.0000
Point 187 -> Point 198, HEIDI Value: 2.0000
Point 187 -> Point 200, HEIDI Value: 2.0000
Point 187 -> Point 213, HEIDI Value: 2.0000
Point 187 -> Point 255, HEIDI Value: 2.0000
Point 188 -> Point 86, HEIDI Value: 2.0000
Point 188 -> Point 154, HEIDI Value: 2.0000
Point 189 -> Point 29, HEIDI Value: 2.0000
Point 189 -> Point 74, HEIDI Value: 2.0000
Point 189 -> Point 93, HEIDI Value: 2.0000
Point 189 -> Point 228, HEIDI Value: 2.0000
Point 190 -> Point 13, HEIDI Value: 2.0000
Point 190 -> Point 37, HEIDI Value: 2.0000
Point 190 -> Point 111, HEIDI Value: 2.0000
Point 190 -> Point 156, HEIDI Value: 2.0000
Point 190 -> Point 211, HEIDI Value: 2.0000
Point 190 -> Point 248, HEIDI Value: 2.0000
Point 191 -> Point 98, HEIDI Value: 2.0000
Point 191 -> Point 155, HEIDI Value: 2.0000
Point 191 -> Point 258, HEIDI Value: 2.0000
Point 191 -> Point 289, HEIDI Value: 2.0000
Point 192 -> Point 26, HEIDI Value: 2.0000
Point 192 -> Point 42, HEIDI Value: 2.0000
Point 192 -> Point 201, HEIDI Value: 2.0000
Point 192 -> Point 217, HEIDI Value: 2.0000
Point 192 -> Point 279, HEIDI Value: 2.0000
Point 192 -> Point 291, HEIDI Value: 2.0000
Point 193 -> Point 15, HEIDI Value: 2.0000
Point 193 -> Point 158, HEIDI Value: 2.0000
Point 194 -> Point 5, HEIDI Value: 2.0000
Point 194 -> Point 105, HEIDI Value: 2.0000
Point 194 -> Point 141, HEIDI Value: 2.0000
Point 194 -> Point 158, HEIDI Value: 2.0000
Point 194 -> Point 254, HEIDI Value: 2.0000
Point 195 -> Point 212, HEIDI Value: 2.0000
Point 195 -> Point 250, HEIDI Value: 2.0000
Point 195 -> Point 292, HEIDI Value: 2.0000
Point 196 -> Point 88, HEIDI Value: 2.0000
Point 196 -> Point 97, HEIDI Value: 2.0000
Point 196 -> Point 123, HEIDI Value: 2.0000
Point 196 -> Point 129, HEIDI Value: 2.0000
Point 196 -> Point 167, HEIDI Value: 2.0000
Point 196 -> Point 171, HEIDI Value: 2.0000
Point 196 -> Point 281, HEIDI Value: 2.0000
Point 197 -> Point 70, HEIDI Value: 2.0000
Point 197 -> Point 86, HEIDI Value: 2.0000
Point 197 -> Point 149, HEIDI Value: 2.0000
Point 198 -> Point 41, HEIDI Value: 2.0000
Point 198 -> Point 187, HEIDI Value: 2.0000
Point 198 -> Point 213, HEIDI Value: 2.0000
Point 199 -> Point 31, HEIDI Value: 2.0000
Point 199 -> Point 42, HEIDI Value: 2.0000
Point 199 -> Point 85, HEIDI Value: 2.0000
Point 199 -> Point 132, HEIDI Value: 2.0000
Point 200 -> Point 68, HEIDI Value: 2.0000
Point 200 -> Point 168, HEIDI Value: 2.0000
Point 200 -> Point 169, HEIDI Value: 2.0000
Point 200 -> Point 287, HEIDI Value: 2.0000
Point 201 -> Point 242, HEIDI Value: 2.0000
Point 201 -> Point 291, HEIDI Value: 2.0000
Point 202 -> Point 67, HEIDI Value: 2.0000
Point 203 -> Point 137, HEIDI Value: 2.0000
Point 203 -> Point 147, HEIDI Value: 2.0000
Point 203 -> Point 182, HEIDI Value: 2.0000
Point 204 -> Point 63, HEIDI Value: 2.0000
Point 204 -> Point 116, HEIDI Value: 2.0000
Point 204 -> Point 207, HEIDI Value: 2.0000
Point 204 -> Point 259, HEIDI Value: 2.0000
Point 205 -> Point 270, HEIDI Value: 2.0000
Point 205 -> Point 271, HEIDI Value: 2.0000
Point 205 -> Point 290, HEIDI Value: 2.0000
Point 206 -> Point 26, HEIDI Value: 2.0000
Point 206 -> Point 42, HEIDI Value: 2.0000
Point 206 -> Point 192, HEIDI Value: 2.0000
Point 206 -> Point 199, HEIDI Value: 2.0000
Point 206 -> Point 217, HEIDI Value: 2.0000
Point 206 -> Point 241, HEIDI Value: 2.0000
Point 207 -> Point 2, HEIDI Value: 2.0000
Point 207 -> Point 84, HEIDI Value: 2.0000
Point 207 -> Point 87, HEIDI Value: 2.0000
Point 207 -> Point 204, HEIDI Value: 2.0000
Point 208 -> Point 28, HEIDI Value: 2.0000
Point 208 -> Point 64, HEIDI Value: 2.0000
Point 208 -> Point 66, HEIDI Value: 2.0000
Point 208 -> Point 138, HEIDI Value: 2.0000
Point 209 -> Point 17, HEIDI Value: 2.0000
Point 209 -> Point 136, HEIDI Value: 2.0000
Point 209 -> Point 139, HEIDI Value: 2.0000
Point 209 -> Point 232, HEIDI Value: 2.0000
Point 209 -> Point 273, HEIDI Value: 2.0000
Point 210 -> Point 127, HEIDI Value: 2.0000
Point 210 -> Point 216, HEIDI Value: 2.0000
Point 210 -> Point 269, HEIDI Value: 2.0000
Point 211 -> Point 59, HEIDI Value: 2.0000
Point 211 -> Point 63, HEIDI Value: 2.0000
Point 211 -> Point 190, HEIDI Value: 2.0000
Point 211 -> Point 248, HEIDI Value: 2.0000
Point 211 -> Point 251, HEIDI Value: 2.0000
Point 212 -> Point 195, HEIDI Value: 2.0000
Point 212 -> Point 230, HEIDI Value: 2.0000
Point 212 -> Point 242, HEIDI Value: 2.0000
Point 213 -> Point 198, HEIDI Value: 2.0000
Point 213 -> Point 268, HEIDI Value: 2.0000
Point 214 -> Point 8, HEIDI Value: 2.0000
Point 214 -> Point 30, HEIDI Value: 2.0000
Point 214 -> Point 178, HEIDI Value: 2.0000
Point 214 -> Point 270, HEIDI Value: 2.0000
Point 215 -> Point 16, HEIDI Value: 2.0000
Point 215 -> Point 99, HEIDI Value: 2.0000
Point 215 -> Point 140, HEIDI Value: 2.0000
Point 215 -> Point 161, HEIDI Value: 2.0000
Point 215 -> Point 274, HEIDI Value: 2.0000
Point 216 -> Point 127, HEIDI Value: 2.0000
Point 216 -> Point 148, HEIDI Value: 2.0000
Point 216 -> Point 210, HEIDI Value: 2.0000
Point 216 -> Point 235, HEIDI Value: 2.0000
Point 217 -> Point 24, HEIDI Value: 2.0000
Point 217 -> Point 26, HEIDI Value: 2.0000
Point 217 -> Point 42, HEIDI Value: 2.0000
Point 217 -> Point 201, HEIDI Value: 2.0000
Point 217 -> Point 279, HEIDI Value: 2.0000
Point 218 -> Point 256, HEIDI Value: 2.0000
Point 219 -> Point 17, HEIDI Value: 2.0000
Point 219 -> Point 128, HEIDI Value: 2.0000
Point 219 -> Point 136, HEIDI Value: 2.0000
Point 219 -> Point 139, HEIDI Value: 2.0000
Point 219 -> Point 256, HEIDI Value: 2.0000
Point 220 -> Point 3, HEIDI Value: 2.0000
Point 220 -> Point 27, HEIDI Value: 2.0000
Point 220 -> Point 150, HEIDI Value: 2.0000
Point 220 -> Point 163, HEIDI Value: 2.0000
Point 221 -> Point 12, HEIDI Value: 2.0000
Point 221 -> Point 46, HEIDI Value: 2.0000
Point 221 -> Point 168, HEIDI Value: 2.0000
Point 221 -> Point 174, HEIDI Value: 2.0000
Point 221 -> Point 179, HEIDI Value: 2.0000
Point 221 -> Point 294, HEIDI Value: 2.0000
Point 222 -> Point 82, HEIDI Value: 2.0000
Point 222 -> Point 252, HEIDI Value: 2.0000
Point 222 -> Point 262, HEIDI Value: 2.0000
Point 223 -> Point 31, HEIDI Value: 2.0000
Point 223 -> Point 33, HEIDI Value: 2.0000
Point 223 -> Point 73, HEIDI Value: 2.0000
Point 223 -> Point 114, HEIDI Value: 2.0000
Point 223 -> Point 159, HEIDI Value: 2.0000
Point 224 -> Point 76, HEIDI Value: 2.0000
Point 224 -> Point 113, HEIDI Value: 2.0000
Point 224 -> Point 244, HEIDI Value: 2.0000
Point 224 -> Point 258, HEIDI Value: 2.0000
Point 225 -> Point 49, HEIDI Value: 2.0000
Point 225 -> Point 95, HEIDI Value: 2.0000
Point 226 -> Point 23, HEIDI Value: 2.0000
Point 226 -> Point 95, HEIDI Value: 2.0000
Point 226 -> Point 269, HEIDI Value: 2.0000
Point 227 -> Point 36, HEIDI Value: 2.0000
Point 227 -> Point 122, HEIDI Value: 2.0000
Point 227 -> Point 261, HEIDI Value: 2.0000
Point 228 -> Point 34, HEIDI Value: 2.0000
Point 228 -> Point 189, HEIDI Value: 2.0000
Point 229 -> Point 6, HEIDI Value: 2.0000
Point 229 -> Point 40, HEIDI Value: 2.0000
Point 229 -> Point 146, HEIDI Value: 2.0000
Point 230 -> Point 77, HEIDI Value: 2.0000
Point 230 -> Point 110, HEIDI Value: 2.0000
Point 230 -> Point 195, HEIDI Value: 2.0000
Point 230 -> Point 212, HEIDI Value: 2.0000
Point 230 -> Point 292, HEIDI Value: 2.0000
Point 231 -> Point 20, HEIDI Value: 2.0000
Point 231 -> Point 102, HEIDI Value: 2.0000
Point 232 -> Point 70, HEIDI Value: 2.0000
Point 232 -> Point 297, HEIDI Value: 2.0000
Point 233 -> Point 184, HEIDI Value: 2.0000
Point 233 -> Point 257, HEIDI Value: 2.0000
Point 233 -> Point 291, HEIDI Value: 2.0000
Point 234 -> Point 14, HEIDI Value: 2.0000
Point 234 -> Point 37, HEIDI Value: 2.0000
Point 234 -> Point 108, HEIDI Value: 2.0000
Point 234 -> Point 173, HEIDI Value: 2.0000
Point 234 -> Point 236, HEIDI Value: 2.0000
Point 235 -> Point 66, HEIDI Value: 2.0000
Point 236 -> Point 156, HEIDI Value: 2.0000
Point 236 -> Point 234, HEIDI Value: 2.0000
Point 237 -> Point 80, HEIDI Value: 2.0000
Point 237 -> Point 180, HEIDI Value: 2.0000
Point 238 -> Point 108, HEIDI Value: 2.0000
Point 238 -> Point 109, HEIDI Value: 2.0000
Point 238 -> Point 173, HEIDI Value: 2.0000
Point 238 -> Point 186, HEIDI Value: 2.0000
Point 238 -> Point 234, HEIDI Value: 2.0000
Point 239 -> Point 153, HEIDI Value: 2.0000
Point 239 -> Point 251, HEIDI Value: 2.0000
Point 239 -> Point 259, HEIDI Value: 2.0000
Point 241 -> Point 42, HEIDI Value: 2.0000
Point 241 -> Point 160, HEIDI Value: 2.0000
Point 241 -> Point 180, HEIDI Value: 2.0000
Point 241 -> Point 192, HEIDI Value: 2.0000
Point 242 -> Point 160, HEIDI Value: 2.0000
Point 242 -> Point 201, HEIDI Value: 2.0000
Point 242 -> Point 212, HEIDI Value: 2.0000
Point 242 -> Point 279, HEIDI Value: 2.0000
Point 243 -> Point 67, HEIDI Value: 2.0000
Point 243 -> Point 104, HEIDI Value: 2.0000
Point 243 -> Point 162, HEIDI Value: 2.0000
Point 243 -> Point 178, HEIDI Value: 2.0000
Point 243 -> Point 283, HEIDI Value: 2.0000
Point 244 -> Point 224, HEIDI Value: 2.0000
Point 244 -> Point 258, HEIDI Value: 2.0000
Point 245 -> Point 15, HEIDI Value: 2.0000
Point 245 -> Point 137, HEIDI Value: 2.0000
Point 245 -> Point 191, HEIDI Value: 2.0000
Point 246 -> Point 33, HEIDI Value: 2.0000
Point 246 -> Point 56, HEIDI Value: 2.0000
Point 246 -> Point 148, HEIDI Value: 2.0000
Point 246 -> Point 277, HEIDI Value: 2.0000
Point 247 -> Point 6, HEIDI Value: 2.0000
Point 247 -> Point 174, HEIDI Value: 2.0000
Point 247 -> Point 229, HEIDI Value: 2.0000
Point 247 -> Point 257, HEIDI Value: 2.0000
Point 248 -> Point 59, HEIDI Value: 2.0000
Point 248 -> Point 135, HEIDI Value: 2.0000
Point 248 -> Point 151, HEIDI Value: 2.0000
Point 248 -> Point 251, HEIDI Value: 2.0000
Point 249 -> Point 1, HEIDI Value: 2.0000
Point 249 -> Point 79, HEIDI Value: 2.0000
Point 250 -> Point 40, HEIDI Value: 2.0000
Point 250 -> Point 195, HEIDI Value: 2.0000
Point 251 -> Point 13, HEIDI Value: 2.0000
Point 251 -> Point 44, HEIDI Value: 2.0000
Point 251 -> Point 63, HEIDI Value: 2.0000
Point 251 -> Point 77, HEIDI Value: 2.0000
Point 251 -> Point 110, HEIDI Value: 2.0000
Point 251 -> Point 211, HEIDI Value: 2.0000
Point 252 -> Point 82, HEIDI Value: 2.0000
Point 252 -> Point 122, HEIDI Value: 2.0000
Point 252 -> Point 126, HEIDI Value: 2.0000
Point 252 -> Point 222, HEIDI Value: 2.0000
Point 252 -> Point 261, HEIDI Value: 2.0000
Point 252 -> Point 280, HEIDI Value: 2.0000
Point 253 -> Point 7, HEIDI Value: 2.0000
Point 253 -> Point 60, HEIDI Value: 2.0000
Point 253 -> Point 128, HEIDI Value: 2.0000
Point 253 -> Point 164, HEIDI Value: 2.0000
Point 253 -> Point 218, HEIDI Value: 2.0000
Point 253 -> Point 219, HEIDI Value: 2.0000
Point 253 -> Point 256, HEIDI Value: 2.0000
Point 254 -> Point 105, HEIDI Value: 2.0000
Point 254 -> Point 141, HEIDI Value: 2.0000
Point 254 -> Point 145, HEIDI Value: 2.0000
Point 254 -> Point 194, HEIDI Value: 2.0000
Point 255 -> Point 187, HEIDI Value: 2.0000
Point 255 -> Point 198, HEIDI Value: 2.0000
Point 255 -> Point 287, HEIDI Value: 2.0000
Point 255 -> Point 294, HEIDI Value: 2.0000
Point 256 -> Point 17, HEIDI Value: 2.0000
Point 256 -> Point 128, HEIDI Value: 2.0000
Point 256 -> Point 139, HEIDI Value: 2.0000
Point 256 -> Point 164, HEIDI Value: 2.0000
Point 256 -> Point 219, HEIDI Value: 2.0000
Point 256 -> Point 253, HEIDI Value: 2.0000
Point 257 -> Point 40, HEIDI Value: 2.0000
Point 257 -> Point 184, HEIDI Value: 2.0000
Point 257 -> Point 233, HEIDI Value: 2.0000
Point 257 -> Point 291, HEIDI Value: 2.0000
Point 258 -> Point 61, HEIDI Value: 2.0000
Point 258 -> Point 96, HEIDI Value: 2.0000
Point 258 -> Point 115, HEIDI Value: 2.0000
Point 258 -> Point 155, HEIDI Value: 2.0000
Point 258 -> Point 191, HEIDI Value: 2.0000
Point 258 -> Point 289, HEIDI Value: 2.0000
Point 259 -> Point 204, HEIDI Value: 2.0000
Point 259 -> Point 239, HEIDI Value: 2.0000
Point 260 -> Point 36, HEIDI Value: 2.0000
Point 260 -> Point 62, HEIDI Value: 2.0000
Point 260 -> Point 122, HEIDI Value: 2.0000
Point 260 -> Point 126, HEIDI Value: 2.0000
Point 261 -> Point 36, HEIDI Value: 2.0000
Point 261 -> Point 62, HEIDI Value: 2.0000
Point 261 -> Point 227, HEIDI Value: 2.0000
Point 261 -> Point 252, HEIDI Value: 2.0000
Point 262 -> Point 82, HEIDI Value: 2.0000
Point 262 -> Point 126, HEIDI Value: 2.0000
Point 262 -> Point 222, HEIDI Value: 2.0000
Point 262 -> Point 263, HEIDI Value: 2.0000
Point 263 -> Point 39, HEIDI Value: 2.0000
Point 263 -> Point 252, HEIDI Value: 2.0000
Point 263 -> Point 262, HEIDI Value: 2.0000
Point 264 -> Point 2, HEIDI Value: 2.0000
Point 264 -> Point 55, HEIDI Value: 2.0000
Point 264 -> Point 102, HEIDI Value: 2.0000
Point 264 -> Point 134, HEIDI Value: 2.0000
Point 265 -> Point 1, HEIDI Value: 2.0000
Point 265 -> Point 79, HEIDI Value: 2.0000
Point 266 -> Point 222, HEIDI Value: 2.0000
Point 266 -> Point 280, HEIDI Value: 2.0000
Point 267 -> Point 169, HEIDI Value: 2.0000
Point 267 -> Point 186, HEIDI Value: 2.0000
Point 267 -> Point 198, HEIDI Value: 2.0000
Point 268 -> Point 41, HEIDI Value: 2.0000
Point 268 -> Point 186, HEIDI Value: 2.0000
Point 269 -> Point 32, HEIDI Value: 2.0000
Point 269 -> Point 53, HEIDI Value: 2.0000
Point 269 -> Point 176, HEIDI Value: 2.0000
Point 269 -> Point 210, HEIDI Value: 2.0000
Point 269 -> Point 226, HEIDI Value: 2.0000
Point 270 -> Point 8, HEIDI Value: 2.0000
Point 270 -> Point 11, HEIDI Value: 2.0000
Point 270 -> Point 25, HEIDI Value: 2.0000
Point 270 -> Point 205, HEIDI Value: 2.0000
Point 270 -> Point 299, HEIDI Value: 2.0000
Point 271 -> Point 104, HEIDI Value: 2.0000
Point 271 -> Point 178, HEIDI Value: 2.0000
Point 271 -> Point 283, HEIDI Value: 2.0000
Point 272 -> Point 0, HEIDI Value: 2.0000
Point 272 -> Point 107, HEIDI Value: 2.0000
Point 272 -> Point 125, HEIDI Value: 2.0000
Point 272 -> Point 220, HEIDI Value: 2.0000
Point 273 -> Point 70, HEIDI Value: 2.0000
Point 273 -> Point 136, HEIDI Value: 2.0000
Point 273 -> Point 197, HEIDI Value: 2.0000
Point 273 -> Point 209, HEIDI Value: 2.0000
Point 274 -> Point 10, HEIDI Value: 2.0000
Point 274 -> Point 16, HEIDI Value: 2.0000
Point 274 -> Point 19, HEIDI Value: 2.0000
Point 274 -> Point 99, HEIDI Value: 2.0000
Point 274 -> Point 140, HEIDI Value: 2.0000
Point 274 -> Point 161, HEIDI Value: 2.0000
Point 274 -> Point 215, HEIDI Value: 2.0000
Point 275 -> Point 4, HEIDI Value: 2.0000
Point 275 -> Point 30, HEIDI Value: 2.0000
Point 275 -> Point 113, HEIDI Value: 2.0000
Point 275 -> Point 142, HEIDI Value: 2.0000
Point 275 -> Point 158, HEIDI Value: 2.0000
Point 276 -> Point 34, HEIDI Value: 2.0000
Point 276 -> Point 298, HEIDI Value: 2.0000
Point 277 -> Point 31, HEIDI Value: 2.0000
Point 277 -> Point 33, HEIDI Value: 2.0000
Point 277 -> Point 56, HEIDI Value: 2.0000
Point 277 -> Point 73, HEIDI Value: 2.0000
Point 277 -> Point 91, HEIDI Value: 2.0000
Point 277 -> Point 132, HEIDI Value: 2.0000
Point 277 -> Point 293, HEIDI Value: 2.0000
Point 278 -> Point 94, HEIDI Value: 2.0000
Point 278 -> Point 147, HEIDI Value: 2.0000
Point 278 -> Point 285, HEIDI Value: 2.0000
Point 279 -> Point 192, HEIDI Value: 2.0000
Point 279 -> Point 242, HEIDI Value: 2.0000
Point 279 -> Point 282, HEIDI Value: 2.0000
Point 279 -> Point 291, HEIDI Value: 2.0000
Point 280 -> Point 70, HEIDI Value: 2.0000
Point 280 -> Point 252, HEIDI Value: 2.0000
Point 280 -> Point 266, HEIDI Value: 2.0000
Point 280 -> Point 297, HEIDI Value: 2.0000
Point 281 -> Point 149, HEIDI Value: 2.0000
Point 281 -> Point 167, HEIDI Value: 2.0000
Point 281 -> Point 196, HEIDI Value: 2.0000
Point 282 -> Point 26, HEIDI Value: 2.0000
Point 282 -> Point 42, HEIDI Value: 2.0000
Point 282 -> Point 217, HEIDI Value: 2.0000
Point 282 -> Point 279, HEIDI Value: 2.0000
Point 282 -> Point 291, HEIDI Value: 2.0000
Point 283 -> Point 144, HEIDI Value: 2.0000
Point 283 -> Point 178, HEIDI Value: 2.0000
Point 283 -> Point 181, HEIDI Value: 2.0000
Point 283 -> Point 214, HEIDI Value: 2.0000
Point 283 -> Point 243, HEIDI Value: 2.0000
Point 283 -> Point 271, HEIDI Value: 2.0000
Point 284 -> Point 49, HEIDI Value: 2.0000
Point 284 -> Point 73, HEIDI Value: 2.0000
Point 284 -> Point 225, HEIDI Value: 2.0000
Point 285 -> Point 147, HEIDI Value: 2.0000
Point 286 -> Point 50, HEIDI Value: 2.0000
Point 286 -> Point 104, HEIDI Value: 2.0000
Point 286 -> Point 131, HEIDI Value: 2.0000
Point 286 -> Point 162, HEIDI Value: 2.0000
Point 287 -> Point 68, HEIDI Value: 2.0000
Point 287 -> Point 169, HEIDI Value: 2.0000
Point 287 -> Point 170, HEIDI Value: 2.0000
Point 287 -> Point 187, HEIDI Value: 2.0000
Point 287 -> Point 200, HEIDI Value: 2.0000
Point 287 -> Point 255, HEIDI Value: 2.0000
Point 287 -> Point 267, HEIDI Value: 2.0000
Point 288 -> Point 89, HEIDI Value: 2.0000
Point 288 -> Point 140, HEIDI Value: 2.0000
Point 288 -> Point 182, HEIDI Value: 2.0000
Point 288 -> Point 260, HEIDI Value: 2.0000
Point 289 -> Point 96, HEIDI Value: 2.0000
Point 289 -> Point 98, HEIDI Value: 2.0000
Point 289 -> Point 258, HEIDI Value: 2.0000
Point 290 -> Point 8, HEIDI Value: 2.0000
Point 290 -> Point 11, HEIDI Value: 2.0000
Point 290 -> Point 25, HEIDI Value: 2.0000
Point 291 -> Point 184, HEIDI Value: 2.0000
Point 291 -> Point 201, HEIDI Value: 2.0000
Point 291 -> Point 250, HEIDI Value: 2.0000
Point 291 -> Point 257, HEIDI Value: 2.0000
Point 292 -> Point 40, HEIDI Value: 2.0000
Point 292 -> Point 58, HEIDI Value: 2.0000
Point 292 -> Point 135, HEIDI Value: 2.0000
Point 292 -> Point 195, HEIDI Value: 2.0000
Point 292 -> Point 230, HEIDI Value: 2.0000
Point 292 -> Point 291, HEIDI Value: 2.0000
Point 293 -> Point 31, HEIDI Value: 2.0000
Point 293 -> Point 33, HEIDI Value: 2.0000
Point 293 -> Point 56, HEIDI Value: 2.0000
Point 293 -> Point 91, HEIDI Value: 2.0000
Point 293 -> Point 132, HEIDI Value: 2.0000
Point 293 -> Point 223, HEIDI Value: 2.0000
Point 293 -> Point 277, HEIDI Value: 2.0000
Point 294 -> Point 38, HEIDI Value: 2.0000
Point 294 -> Point 168, HEIDI Value: 2.0000
Point 294 -> Point 179, HEIDI Value: 2.0000
Point 294 -> Point 200, HEIDI Value: 2.0000
Point 295 -> Point 150, HEIDI Value: 2.0000
Point 296 -> Point 5, HEIDI Value: 2.0000
Point 296 -> Point 144, HEIDI Value: 2.0000
Point 296 -> Point 214, HEIDI Value: 2.0000
Point 297 -> Point 70, HEIDI Value: 2.0000
Point 297 -> Point 101, HEIDI Value: 2.0000
Point 297 -> Point 232, HEIDI Value: 2.0000
