Points with non-zero HEIDI values:
Point 0 -> Point 0, HEIDI Value: 3.0000
Point 1 -> Point 1, HEIDI Value: 3.0000
Point 1 -> Point 35, HEIDI Value: 3.0000
Point 1 -> Point 53, HEIDI Value: 3.0000
Point 2 -> Point 2, HEIDI Value: 3.0000
Point 3 -> Point 3, HEIDI Value: 3.0000
Point 3 -> Point 142, HEIDI Value: 3.0000
Point 4 -> Point 4, HEIDI Value: 3.0000
Point 5 -> Point 5, HEIDI Value: 3.0000
Point 6 -> Point 6, HEIDI Value: 3.0000
Point 6 -> Point 134, HEIDI Value: 3.0000
Point 7 -> Point 7, HEIDI Value: 3.0000
Point 7 -> Point 93, HEIDI Value: 3.0000
Point 7 -> Point 124, HEIDI Value: 3.0000
Point 8 -> Point 8, HEIDI Value: 3.0000
Point 8 -> Point 123, HEIDI Value: 3.0000
Point 8 -> Point 143, HEIDI Value: 3.0000
Point 9 -> Point 9, HEIDI Value: 3.0000
Point 10 -> Point 10, HEIDI Value: 3.0000
Point 10 -> Point 64, HEIDI Value: 3.0000
Point 11 -> Point 11, HEIDI Value: 3.0000
Point 11 -> Point 121, HEIDI Value: 3.0000
Point 12 -> Point 12, HEIDI Value: 3.0000
Point 12 -> Point 44, HEIDI Value: 3.0000
Point 13 -> Point 13, HEIDI Value: 3.0000
Point 13 -> Point 130, HEIDI Value: 3.0000
Point 14 -> Point 14, HEIDI Value: 3.0000
Point 14 -> Point 46, HEIDI Value: 3.0000
Point 15 -> Point 15, HEIDI Value: 3.0000
Point 15 -> Point 67, HEIDI Value: 3.0000
Point 15 -> Point 122, HEIDI Value: 3.0000
Point 15 -> Point 155, HEIDI Value: 3.0000
Point 16 -> Point 16, HEIDI Value: 3.0000
Point 16 -> Point 80, HEIDI Value: 3.0000
Point 17 -> Point 17, HEIDI Value: 3.0000
Point 17 -> Point 113, HEIDI Value: 3.0000
Point 18 -> Point 18, HEIDI Value: 3.0000
Point 19 -> Point 19, HEIDI Value: 3.0000
Point 20 -> Point 20, HEIDI Value: 3.0000
Point 20 -> Point 107, HEIDI Value: 3.0000
Point 21 -> Point 21, HEIDI Value: 3.0000
Point 22 -> Point 22, HEIDI Value: 3.0000
Point 22 -> Point 164, HEIDI Value: 3.0000
Point 23 -> Point 23, HEIDI Value: 3.0000
Point 24 -> Point 24, HEIDI Value: 3.0000
Point 24 -> Point 111, HEIDI Value: 3.0000
Point 24 -> Point 150, HEIDI Value: 3.0000
Point 25 -> Point 25, HEIDI Value: 3.0000
Point 26 -> Point 26, HEIDI Value: 3.0000
Point 27 -> Point 27, HEIDI Value: 3.0000
Point 28 -> Point 28, HEIDI Value: 3.0000
Point 29 -> Point 29, HEIDI Value: 3.0000
Point 30 -> Point 30, HEIDI Value: 3.0000
Point 30 -> Point 54, HEIDI Value: 3.0000
Point 31 -> Point 31, HEIDI Value: 3.0000
Point 32 -> Point 32, HEIDI Value: 3.0000
Point 32 -> Point 77, HEIDI Value: 3.0000
Point 33 -> Point 33, HEIDI Value: 3.0000
Point 34 -> Point 34, HEIDI Value: 3.0000
Point 35 -> Point 1, HEIDI Value: 3.0000
Point 35 -> Point 35, HEIDI Value: 3.0000
