rank,Company Name,Industry,State,City,Metro Area,Growth (%),Revenue ($),Number of Workers,Years on List,URL
74,First Point Power,Energy,Rhode Island,East Greenwich,Providence-New Bedford-Fall River RI-MA,4355.2259,23499000,4,1,first-point-power
230,X5 Networks,IT Services,Delaware,Wilmington,Philadelphia,1970.7638,2114664,4,1,x5-networks
251,Alcohol by Volume,Food & Beverage,California,Monterey,Salinas CA,1822.9191,4492939,4,1,alcohol-by-volume
389,New Tradition Media,Advertising & Marketing,New York,New York,New York City,1208.5764,2077365,4,1,new-tradition-media
439,ToiletTree Products,Consumer Products & Services,New York,Upper Nyack,New York City,1079.8496,3353510,4,1,toilettree-products
676,KitOrder,Software,California,Sausalito,San Francisco,674.1156,4185860,4,1,kitorder
774,WebMechanix,Advertising & Marketing,Maryland,Columbia,Baltimore,589.9941,2447285,4,1,webmechanix
966,The Mass Media Group,Advertising & Marketing,South Carolina,Greenville,Greenville-Mauldin-Easley SC,467.2308,6086228,4,1,the-mass-media-group
1001,Revenue Universe,Advertising & Marketing,Florida,Sarasota,Panama City-Lynn Haven FL,446.557,7148086,4,2,revenue-universe
1173,Wildkin,Consumer Products & Services,Tennessee,Nashville,Nashville,372.8372,5083000,4,1,wildkin
2105,305 Degrees,Travel & Hospitality,Florida,Miami Beach,Miami,189.9428,10453981,4,2,305-degrees
2479,Simple Real Estate Solutions,Real Estate,Virginia,Virginia Beach,Virginia Beach-Norfolk-Newport News VA-NC,153.9092,4786917,4,1,simple-real-estate-solutions
2607,Interticket USA,Advertising & Marketing,California,Irvine,Los Angeles,144.0068,2321859,4,2,interticket-usa
3080,Fun and Function,Retail,Pennsylvania,Merion Station,Philadelphia,115.1501,2626015,4,2,fun-and-function
3208,Harwood Financial Group,Financial Services,Florida,Largo,Tampa,108.4672,2311882,4,1,harwood-financial-group
3630,Wave Direct,Advertising & Marketing,Florida,Cape Coral,Cape Coral-Fort Myers FL,88.8311,2438098,4,2,wave-direct
4660,Beyond Gaming of Michigan,Consumer Products & Services,Michigan,Birmingham,Detroit,53.0203,4889000,4,1,beyond-gaming-of-michigan
292,UpSurge Media Group,Advertising & Marketing,New York,New York,New York City,1560.1278,5577000,5,2,upsurge-media-group
348,The Participation Agency,Advertising & Marketing,New York,New York,New York City,1351.7859,2163161,5,1,the-participation-agency
472,Marie Forleo International,Education,New York,New York,New York City,998.0448,11930257,5,1,marie-forleo-international
603,Spa Enrichment Strategies,Consumer Products & Services,New Mexico,Albuquerque,Albuquerque NM,790.275,2102064,5,1,spa-enrichment-strategies
614,Facility Nexus,Business Products & Services,Utah,Salt Lake City,Salt Lake City,772.3927,3146075,5,1,facility-nexus
730,Odyssey Telecommunications,Telecommunications,New York,Colden,Buffalo-Niagara Falls NY,626.0393,4141568,5,2,odyssey-telecommunications
845,Paramount Business Jets,Travel & Hospitality,Virginia,Leesburg,Washington DC,531.5743,5374078,5,2,paramount-business-jets
919,ExclusiveCPA,Advertising & Marketing,Wisconsin,Kaukauna,Green Bay WI,490.1845,7992963,5,2,exclusivecpa
1014,Convoy Technologies,Logistics & Transportation,California,Newport Beach,Los Angeles,439.2422,2514470,5,1,convoy-technologies
1070,Phastek,Consumer Products & Services,Texas,Houston,Houston,416.9049,4135549,5,1,phastek
1303,MindMax,Education,Massachusetts,Braintree,Boston,331.2689,3238752,5,1,mindmax
1350,Blue Track Media,Advertising & Marketing,Texas,Dallas,Dallas,318.799,4812000,5,1,blue-track-media
1594,Blue Moon Construction,Construction,Virginia,Ashburn,Washington DC,267.225,2395144,5,1,blue-moon-construction
1614,MattressInsider.com,Retail,Colorado,Littleton,Denver,264.1782,2008257,5,1,mattressinsidercom
1710,SemiNex,Engineering,Massachusetts,Peabody,Boston,245.4726,2460622,5,1,seminex
1792,MacDoc Realty,Real Estate,Virginia,Fredericksburg,Washington DC,231.252,3224788,5,1,macdoc-realty
1896,ExecuTech Lease Group,Business Products & Services,Washington,Vancouver,Portland OR,216.339,4596241,5,1,executech-lease-group
2116,iMarine USA,Retail,California,Thousand Oaks,Oxnard-Thousand Oaks-Ventura CA,188.7664,3214103,5,2,imarine-usa
3060,Eye5 Mktg & Talent,Advertising & Marketing,New York,New York,New York City,116.3156,2113987,5,1,eye5-mktg-talent
3209,Medical Supply Depot,Retail,New York,Brooklyn,New York City,108.4483,2869958,5,3,medical-supply-depot
3561,Barzilay Development,Real Estate,Pennsylvania,Philadelphia,Philadelphia,91.5637,2042923,5,1,barzilay-development
3635,Dietitians On Demand,Health,Virginia,Henrico,Richmond VA,88.6284,2203865,5,1,dietitians-on-demand
3824,Cal-American Homes,Real Estate,California,Claremont,Los Angeles,81.3247,3427337,5,3,cal-american-homes
3851,Blink Marketing,Advertising & Marketing,Tennessee,Franklin,Nashville,80.1631,2254440,5,1,blink-marketing
4291,Positive Management Leadership,Human Resources,South Carolina,Greenwood,,64.9684,2485157,5,2,positive-management-leadership
4434,MarketingFX,Business Products & Services,Texas,Dallas,Dallas,60.3624,3083038,5,1,marketingfx
4494,Coakley Realty,Real Estate,Maryland,Rockville,Washington DC,57.7796,2367687,5,1,coakley-realty
4988,Proforma Print and Promotional Images,Advertising & Marketing,Nebraska,Lincoln,Lincoln NE,42.8024,2609000,5,1,proforma-print-and-promotional-images
94,Early Upgrade,Consumer Products & Services,Florida,Jacksonville,Jacksonville FL,3745.689,18068816,6,1,early-upgrade
130,CPA Trend,Advertising & Marketing,New York,Howard Beach,New York City,2842.941,5826876,6,1,cpa-trend
165,LED Supply,Business Products & Services,Colorado,Lakewood,Denver,2474.0559,2877743,6,1,led-supply
166,LeGault Homes,Real Estate,Virginia,Glen Allen,Richmond VA,2455.075,7660396,6,1,legault-homes
211,Splash and Dash for Dogs International,Consumer Products & Services,Florida,St. Petersburg,Tampa,2117.7004,2291195,6,1,splash-and-dash-for-dogs-international
374,Gadberry Construction Company,Construction,Texas,Dallas,Dallas,1277.2433,3675394,6,1,gadberry-construction-company
479,SeaSnax,Food & Beverage,California,Los Angeles,Los Angeles,988.2353,3515000,6,1,seasnax
503,Better Life,Consumer Products & Services,Missouri,St. Louis,St. Louis MO-IL,938.9836,3172235,6,1,better-life
545,Icon Homes,Construction,Utah,Salt Lake City,Salt Lake City,881.4653,2125000,6,1,icon-homes
642,McGregor Homes,Real Estate,Oklahoma,Edmond,Oklahoma City OK,726.2162,6114000,6,1,mcgregor-homes
694,Southern Point,Consumer Products & Services,Alabama,Enterprise,Enterprise-Ozark AL,654.4817,2199050,6,1,southern-point
746,Oakmont Home Builders,Construction,North Carolina,Charlotte,Charlotte,610.7521,28865911,6,1,oakmont-home-builders
983,Fisher Wallace Laboratories,Health,New York,New York,New York City,455.3728,2119497,6,1,fisher-wallace-laboratories
985,Fresh Consulting,IT Services,Washington,Bellevue,Seattle,455.064,4768000,6,2,fresh-consulting
1106,SimpleRay,Energy,Minnesota,St. Paul,Minneapolis,401.9734,2111300,6,2,simpleray
1251,Marketeching Solutions,Advertising & Marketing,Pennsylvania,New Hope,Philadelphia,347.6523,2760193,6,1,marketeching-solutions
1454,Katalyst Group,Human Resources,California,Pacific Palisades,Los Angeles,293.8098,2020634,6,1,katalyst-group
1575,ERP Professionals,IT Services,Georgia,Woodstock,Atlanta,270.6402,7529934,6,2,erp-professionals
1607,Elite Pacific Properties,Real Estate,Hawaii,Honolulu,Honolulu HI,265.0319,5582170,6,2,elite-pacific-properties
1695,Anserteam Workforce Solutions,Human Resources,Texas,Dallas,Dallas,248.1788,20936161,6,1,anserteam-workforce-solutions
1857,PowerOne,Advertising & Marketing,Pennsylvania,Perkasie,Philadelphia,221.3356,2138257,6,1,powerone
1999,Click 4 Compliance,Business Products & Services,Virginia,Reston,Washington DC,203.4183,2113090,6,1,click-4-compliance
2226,Gilligan & Ferneman,Retail,Florida,Kissimmee,Orlando FL,176.2463,2796524,6,3,gilligan-ferneman
2384,SOAR Performance Group,Business Products & Services,Georgia,Atlanta,Atlanta,161.6879,2240064,6,1,soar-performance-group
2504,Schox Patent Group,Business Products & Services,California,San Francisco,San Francisco,151.5069,2844955,6,2,schox-patent-group
2528,New York Nutrition Company,Consumer Products & Services,Texas,Bastrop,Austin,149.4245,2122296,6,1,new-york-nutrition-company
2573,Farar & Lewis LLP,Consumer Products & Services,California,Los Angeles,Los Angeles,146.1515,6388330,6,1,farar-lewis-llp
2574,Forward Health,Health,New York,New York,New York City,146.122,8710384,6,4,forward-health
2604,Capital Markets Placement,Human Resources,New York,New York,New York City,144.1285,2329608,6,1,capital-markets-placement
2716,Red Zone Tickets,Retail,Nebraska,Omaha,Omaha-Council Bluffs NE-IA,137.9304,7579639,6,2,red-zone-tickets
2819,Travertine Mart,Consumer Products & Services,Florida,Hallandale,Miami,130.7865,2785124,6,3,travertine-mart
2942,Vantage Payments,Financial Services,Arizona,Scottsdale,Phoenix,122.8259,2025574,6,1,vantage-payments
3052,D&D Unlimited,Advertising & Marketing,Florida,Orlando,Orlando FL,116.4663,4050402,6,1,dd-unlimited
3140,Burleson Orthodontics,Health,Missouri,Kansas City,Kansas City MO-KS,112.2859,3651258,6,1,burleson-orthodontics
3330,Koffler Sales,Construction,Illinois,Lake Zurich,Chicago,101.2718,3524324,6,3,koffler-sales
3473,Component Supply,Logistics & Transportation,Kentucky,Louisville,Louisville/Jefferson KY-IN,95.2623,2167796,6,1,component-supply
4036,Great Britain Tile,Construction,Florida,Land O' Lakes,Tampa,73.7053,3880940,6,3,great-britain-tile
4061,HomeExchange.com,Travel & Hospitality,California,Hermosa Beach,Los Angeles,72.8934,5818220,6,4,homeexchangecom
4272,London Guest Suites,Travel & Hospitality,California,West Hollywood,Los Angeles,65.6429,3298992,6,2,london-guest-suites
4354,Covenant Partners,Financial Services,Tennessee,Nashville,Nashville,63.0768,2494540,6,1,covenant-partners
4523,Benchmark Hospitality International,Travel & Hospitality,Texas,The Woodlands,Houston,57.0208,541698905,6,5,benchmark-hospitality-international
4695,Independent Catalyst,IT Services,Pennsylvania,Pittsburgh,Pittsburgh PA,52.0623,7879658,6,4,independent-catalyst
4718,DynamiCard Plastic Postcards,Advertising & Marketing,California,Escondido,San Diego,51.23,4560379,6,2,dynamicard-plastic-postcards
101,Equipatron,Retail,Wisconsin,Mequon,Milwaukee-Waukesha-West Allis WI,3543.1,5284863,7,1,equipatron
214,IDsecurityonline.com,Security,New York,New York,New York City,2093.0319,4898356,7,1,idsecurityonlinecom
236,Eau De Luxe,Retail,New York,Long Island City,New York City,1926.8199,2540031,7,1,eau-de-luxe
284,Southern Green Builders,Construction,Texas,Houston,Houston,1610.4108,4166116,7,1,southern-green-builders
300,Noi Solutions,Business Products & Services,New York,New York,New York City,1519.4793,22833994,7,1,noi-solutions
